9827168,9984578,2684,939400,10923978,9.41
9827169,9989307,4761,1666350,11655657,16.68
9827170,9985759,4954,1733900,11719659,17.36
9827171,9991600,5515,1930250,11921850,19.32
9827172,9973990,5582,1953700,11927690,19.59
9827173,9979659,4978,1742300,11721959,17.46
9827174,463344,213,74550,537894,16.09
9827175,7496707,4201,1470350,8967057,19.61
9827176,9978009,6641,2324350,12302359,23.29
9827177,9979553,7851,2747850,12727403,27.53
9827178,9948248,4248,1486800,11435048,14.95
9827180,9969526,7062,2471700,12441226,24.79
9827181,1189962,499,174650,1364612,14.68
9827182,9961672,3115,1090250,11051922,10.94
9827183,9984520,4611,1613850,11598370,16.16
9827185,9975682,5762,2016700,11992382,20.22
9827186,9981775,5304,1856400,11838175,18.60
9827187,9980288,6318,2211300,12191588,22.16
9827188,9984963,6148,2151800,12136763,21.55
9827189,9987073,3403,1191050,11178123,11.93
9827190,9993495,3860,1351000,11344495,13.52
9827191,9686224,5519,1931650,11617874,19.94
9827192,9983857,3836,1342600,11326457,13.45
9827193,2528599,868,303800,2832399,12.01
9827194,1735266,1525,533750,2269016,30.76
9827195,9990020,6574,2300900,12290920,23.03
9827196,9993210,3732,1306200,11299410,13.07
9827197,9979450,2603,911050,10890500,9.13
9827198,9622243,4177,1461950,11084193,15.19
9827199,7221731,3519,1231650,8453381,17.05
9827200,9977016,7273,2545550,12522566,25.51
9827201,9987086,3590,1256500,11243586,12.58
9827202,9992356,4003,1401050,11393406,14.02
9827203,9983073,5902,2065700,12048773,20.69
9827204,491350,300,105000,596350,21.37
9827205,9971181,6125,2143750,12114931,21.50
9827206,9989338,5624,1968400,11957738,19.71
9827207,9988321,3928,1374800,11363121,13.76
9827208,9985882,6248,2186800,12172682,21.90
9827209,9976584,3813,1334550,11311134,13.38
9827210,4459534,2997,1048950,5508484,23.52
9827211,9951419,5605,1961750,11913169,19.71
9827212,9883668,3922,1372700,11256368,13.89
9827213,9954287,6680,2338000,12292287,23.49
9827214,9941736,4765,1667750,11609486,16.78
9827215,9934325,2960,1036000,10970325,10.43
9827216,9949516,5302,1855700,11805216,18.65
9827217,2369579,1154,403900,2773479,17.05
9827218,9944891,5620,1967000,11911891,19.78
9827219,268808,94,32900,301708,12.24
9827220,9946217,7760,2716000,12662217,27.31
9827221,1456603,1433,501550,1958153,34.43
9827222,3915484,2238,783300,4698784,20.01
9827223,9969689,6501,2275350,12245039,22.82
9827224,9955523,6413,2244550,12200073,22.55
9827225,9890352,6222,2177700,12068052,22.02
9827226,9944763,5713,1999550,11944313,20.11
9827227,9779741,2659,930650,10710391,9.52
9827228,9938423,5674,1985900,11924323,19.98
9827229,9927777,5855,2049250,11977027,20.64
9827230,9579087,4259,1490650,11069737,15.56
9827233,9957577,3291,1151850,11109427,11.57
9827234,9968642,6529,2285150,12253792,22.92
9827235,9956719,7646,2676100,12632819,26.88
9827236,9959536,9060,3171000,13130536,31.84
9827237,9974256,5529,1935150,11909406,19.40
9827238,9874912,7211,2523850,12398762,25.56
9827239,7016543,1299,454650,7471193,6.48
9827240,9976558,5511,1928850,11905408,19.33
9827241,9986949,8008,2802800,12789749,28.06
9827242,9992556,6182,2163700,12156256,21.65
9827243,9990166,3115,1090250,11080416,10.91
9827245,9965940,5175,1811250,11777190,18.17
9827246,9899496,5668,1983800,11883296,20.04
9827247,9943952,2630,920500,10864452,9.26
9827248,9969130,5594,1957900,11927030,19.64
9827249,143010,51,17850,160860,12.48
9827250,9962933,3816,1335600,11298533,13.41
9827251,9960393,5586,1955100,11915493,19.63
9827252,4187086,1971,689850,4876936,16.48
9827253,9973961,7308,2557800,12531761,25.64
9827254,9830105,4223,1478050,11308155,15.04
9827255,667679,395,138250,805929,20.71
9827256,9982152,5769,2019150,12001302,20.23
9827257,9957697,5042,1764700,11722397,17.72
9827258,645394,380,133000,778394,20.61
9827259,2656275,803,281050,2937325,10.58
9827260,9955654,3179,1112650,11068304,11.18
9827261,4992915,2508,877800,5870715,17.58
9827262,9705789,5657,1979950,11685739,20.40
9827263,456933,322,112700,569633,24.66
9827264,9969339,5303,1856050,11825389,18.62
9827265,9954523,4417,1545950,11500473,15.53
9827266,9966649,4661,1631350,11597999,16.37
9827267,9977312,932,326200,10303512,3.27
9827268,2772137,1231,430850,3202987,15.54
9827269,9958109,7312,2559200,12517309,25.70
9827271,9982392,5052,1768200,11750592,17.71
9827272,9980871,7022,2457700,12438571,24.62
9827273,9992260,1568,548800,10541060,5.49
9827274,1130577,307,107450,1238027,9.50
9827275,9978080,6338,2218300,12196380,22.23
9827276,749686,266,93100,842786,12.42
9827277,9956519,4114,1439900,11396419,14.46
9827278,65654,60,21000,86654,31.99
9827279,9936251,3365,1177750,11114001,11.85
9827280,9949597,4142,1449700,11399297,14.57
9827281,9961168,4564,1597400,11558568,16.04
9827282,9952538,6010,2103500,12056038,21.14
9827283,9934568,4779,1672650,11607218,16.84
9827284,1759030,2019,706650,2465680,40.17
9827285,9976286,4144,1450400,11426686,14.54
9827286,1205215,678,237300,1442515,19.69
9827287,9979609,2063,722050,10701659,7.24
9827288,9969090,4890,1711500,11680590,17.17
9827289,9962732,320,112000,10074732,1.12
9827290,9982033,6716,2350600,12332633,23.55
9827291,5541917,4970,1739500,7281417,31.39
9827292,9957251,5475,1916250,11873501,19.24
9827293,9968620,4611,1613850,11582470,16.19
9827294,9981772,6874,2405900,12387672,24.10
9827295,9980654,7248,2536800,12517454,25.42
9827296,9979604,4742,1659700,11639304,16.63
